nid_a,nid_b,jaccard,dataset_a,dataset_b,label_a,label_b,cross_dataset,label_conflict,rows_a,rows_b
594,11219,0.6667,davidson2017,davidson2017,1,1,False,False,1,10
594,11221,0.6207,davidson2017,davidson2017,1,1,False,False,1,1
594,11222,0.6429,davidson2017,davidson2017,1,1,False,False,1,1
594,12482,0.5294,davidson2017,davidson2017,1,1,False,False,1,1
594,21498,0.6429,davidson2017,davidson2017,1,1,False,False,1,1
594,21503,0.8182,davidson2017,davidson2017,1,1,False,False,1,1
594,21504,0.8182,davidson2017,davidson2017,1,1,False,False,1,1
594,21505,0.8571,davidson2017,davidson2017,1,1,False,False,1,1
594,21506,0.7826,davidson2017,davidson2017,1,1,False,False,1,1
594,21507,0.7826,davidson2017,davidson2017,1,1,False,False,1,1
594,24208,0.6,davidson2017,davidson2017,1,1,False,False,1,1
605,22082,0.5161,davidson2017,davidson2017,1,1,False,False,1,1
647,16025,0.6471,davidson2017,davidson2017,1,1,False,False,1,1
647,19728,0.5,davidson2017,davidson2017,1,1,False,False,1,1
696,754,0.5882,davidson2017,davidson2017,1,1,False,False,1,1
696,769,0.5128,davidson2017,davidson2017,1,1,False,False,1,1
696,903,0.5946,davidson2017,davidson2017,1,1,False,False,1,1
696,908,0.5366,davidson2017,davidson2017,1,1,False,False,1,1
741,2353,0.5366,davidson2017,davidson2017,1,1,False,False,1,1
741,11582,0.5385,davidson2017,davidson2017,1,1,False,False,1,2
741,22357,0.6061,davidson2017,davidson2017,1,1,False,False,1,1
754,769,0.6061,davidson2017,davidson2017,1,1,False,False,1,1
754,870,0.5405,davidson2017,davidson2017,1,1,False,False,1,1
754,903,0.6061,davidson2017,davidson2017,1,1,False,False,1,1
769,903,0.5263,davidson2017,davidson2017,1,1,False,False,1,1
780,781,0.6282,davidson2017,davidson2017,0,0,False,False,1,1
799,809,0.5417,davidson2017,davidson2017,1,0,False,False,1,2
803,805,0.5591,davidson2017,davidson2017,1,1,False,False,1,1
803,806,0.6265,davidson2017,davidson2017,1,1,False,False,1,1
804,806,0.6022,davidson2017,davidson2017,1,1,False,False,1,1
805,806,0.5824,davidson2017,davidson2017,1,1,False,False,1,1
806,807,0.52,davidson2017,davidson2017,1,1,False,False,1,1
806,809,0.5,davidson2017,davidson2017,1,0,False,False,1,2
808,826,0.5083,davidson2017,davidson2017,1,1,False,False,1,1
808,827,0.8404,davidson2017,davidson2017,1,1,False,False,1,1
809,816,0.5,davidson2017,davidson2017,0,1,False,False,2,1
809,819,0.5821,davidson2017,davidson2017,0,1,False,False,2,2
809,825,0.5342,davidson2017,davidson2017,0,1,False,False,2,1
814,816,0.5155,davidson2017,davidson2017,1,1,False,False,1,1
817,819,0.5889,davidson2017,davidson2017,1,1,False,False,1,2
826,827,0.5826,davidson2017,davidson2017,1,1,False,False,1,1
829,830,0.5806,davidson2017,davidson2017,1,1,False,False,1,1
829,831,0.5806,davidson2017,davidson2017,1,1,False,False,1,1
830,831,0.6585,davidson2017,davidson2017,1,1,False,False,1,1
903,908,0.8235,davidson2017,davidson2017,1,1,False,False,1,1
944,23576,0.5638,davidson2017,davidson2017,1,1,False,False,1,1
962,963,0.5846,davidson2017,davidson2017,1,1,False,False,1,1
971,1896,0.6154,davidson2017,davidson2017,1,1,False,False,1,1
971,3299,0.6857,davidson2017,davidson2017,1,1,False,False,1,2
971,4982,0.5152,davidson2017,davidson2017,1,1,False,False,1,3
971,14789,0.7419,davidson2017,davidson2017,1,1,False,False,1,1
988,6290,0.6364,davidson2017,davidson2017,1,1,False,False,1,1
990,9052,0.5584,davidson2017,davidson2017,1,1,False,False,1,1
994,10639,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
1002,1003,0.7273,davidson2017,davidson2017,1,1,False,False,1,1
1008,17541,0.6596,davidson2017,davidson2017,1,1,False,False,1,1
1008,17542,0.6122,davidson2017,davidson2017,1,1,False,False,1,1
1008,19977,0.5417,davidson2017,davidson2017,1,1,False,False,1,1
1029,1030,0.7368,davidson2017,davidson2017,1,1,False,False,1,1
1029,19557,0.7597,davidson2017,davidson2017,1,1,False,False,1,1
1030,19557,0.6812,davidson2017,davidson2017,1,1,False,False,1,1
1062,6291,0.6,davidson2017,davidson2017,1,1,False,False,1,1
1087,11650,0.5273,davidson2017,davidson2017,1,1,False,False,1,1
1137,6708,0.55,davidson2017,davidson2017,1,1,False,False,1,1
1137,19651,0.5833,davidson2017,davidson2017,1,1,False,False,1,1
1152,13197,0.5125,davidson2017,davidson2017,1,1,False,False,1,1
1162,14023,0.5405,davidson2017,davidson2017,1,1,False,False,1,1
1168,22067,0.5536,davidson2017,davidson2017,0,0,False,False,1,1
1208,27329,0.7273,davidson2017,dynahate2021,0,0,True,False,1,1
1218,12257,0.7719,davidson2017,davidson2017,1,1,False,False,1,1
1221,16009,0.5435,davidson2017,davidson2017,1,1,False,False,1,1
1224,1225,0.8667,davidson2017,davidson2017,1,1,False,False,1,1
1224,16000,0.7941,davidson2017,davidson2017,1,1,False,False,1,1
1224,16001,0.7222,davidson2017,davidson2017,1,1,False,False,1,1
1225,16000,0.7027,davidson2017,davidson2017,1,1,False,False,1,1
1225,16001,0.8286,davidson2017,davidson2017,1,1,False,False,1,1
1228,19050,0.5455,davidson2017,davidson2017,0,0,False,False,1,1
1229,5485,0.6,davidson2017,davidson2017,1,1,False,False,1,1
1229,21681,0.6316,davidson2017,davidson2017,1,1,False,False,1,1
1239,15654,0.5763,davidson2017,davidson2017,1,1,False,False,1,1
1241,13415,0.54,davidson2017,davidson2017,1,1,False,False,1,1
1241,21568,0.537,davidson2017,davidson2017,1,1,False,False,1,1
1256,5308,0.5385,davidson2017,davidson2017,1,1,False,False,1,1
1256,5309,0.6538,davidson2017,davidson2017,1,1,False,False,1,1
1256,7157,0.5152,davidson2017,davidson2017,1,1,False,False,1,1
1262,6293,0.86,davidson2017,davidson2017,0,0,False,False,1,1
1376,2425,0.6207,davidson2017,davidson2017,1,1,False,False,1,1
1376,5970,0.5385,davidson2017,davidson2017,1,1,False,False,1,1
1379,4946,0.5172,davidson2017,davidson2017,1,1,False,False,1,1
1384,1385,0.5833,davidson2017,davidson2017,1,1,False,False,1,1
1384,1422,0.5,davidson2017,davidson2017,1,1,False,False,1,1
1384,1904,0.5,davidson2017,davidson2017,1,1,False,False,1,1
1384,1905,0.56,davidson2017,davidson2017,1,1,False,False,1,1
1384,97902,0.5,davidson2017,tweeteval_hate,1,1,True,False,1,1
1385,1904,0.8333,davidson2017,davidson2017,1,1,False,False,1,1
1385,1905,0.9524,davidson2017,davidson2017,1,1,False,False,1,1
1385,1906,0.6,davidson2017,davidson2017,1,1,False,False,1,1
1385,3320,0.8,davidson2017,davidson2017,1,1,False,False,1,5
1385,3322,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
1385,3324,0.6957,davidson2017,davidson2017,1,1,False,False,1,1
1385,99041,0.5714,davidson2017,tweeteval_hate,1,1,True,False,1,1
1395,2688,0.5,davidson2017,davidson2017,1,1,False,False,1,1
1406,2323,0.5172,davidson2017,davidson2017,1,1,False,False,1,1
1414,97209,0.6,davidson2017,tweeteval_hate,0,0,True,False,1,1
1414,97265,0.6,davidson2017,tweeteval_hate,0,0,True,False,1,1
1414,97284,0.6,davidson2017,tweeteval_hate,0,1,True,True,1,1
1414,97285,0.6,davidson2017,tweeteval_hate,0,0,True,False,1,3
1422,1905,0.5,davidson2017,davidson2017,1,1,False,False,1,1
1422,3308,0.7619,davidson2017,davidson2017,1,1,False,False,1,1
1422,97901,0.5172,davidson2017,tweeteval_hate,1,0,True,True,1,1
1442,1911,0.5312,davidson2017,davidson2017,1,1,False,False,1,1
1453,1646,0.6087,davidson2017,davidson2017,1,1,False,False,1,1
1453,2254,0.56,davidson2017,davidson2017,1,1,False,False,1,1
1481,1758,0.5,davidson2017,davidson2017,1,1,False,False,1,1
1506,1824,0.5185,davidson2017,davidson2017,1,1,False,False,1,1
1506,13477,0.6154,davidson2017,davidson2017,1,1,False,False,1,1
1506,13478,0.6538,davidson2017,davidson2017,1,1,False,False,1,1
1527,1862,0.7857,davidson2017,davidson2017,1,1,False,False,1,1
1527,3130,0.6207,davidson2017,davidson2017,1,1,False,False,1,1
1542,3398,0.5652,davidson2017,davidson2017,1,1,False,False,1,1
1634,1635,0.5882,davidson2017,davidson2017,1,1,False,False,1,1
1634,2221,1.0,davidson2017,davidson2017,1,1,False,False,1,1
1634,2222,0.7143,davidson2017,davidson2017,1,1,False,False,1,1
1634,2224,0.5,davidson2017,davidson2017,1,1,False,False,1,1
1634,7124,0.5556,davidson2017,davidson2017,1,1,False,False,1,1
1635,2221,0.5882,davidson2017,davidson2017,1,1,False,False,1,1
1635,2222,0.7857,davidson2017,davidson2017,1,1,False,False,1,1
1635,2224,0.6316,davidson2017,davidson2017,1,1,False,False,1,1
1638,1895,0.6,davidson2017,davidson2017,1,1,False,False,1,1
1638,1896,0.6765,davidson2017,davidson2017,1,1,False,False,1,1
1638,3299,0.5588,davidson2017,davidson2017,1,1,False,False,1,2
1638,4982,0.8333,davidson2017,davidson2017,1,1,False,False,1,3
1638,14789,0.5484,davidson2017,davidson2017,1,1,False,False,1,1
1646,2254,0.6364,davidson2017,davidson2017,1,1,False,False,1,1
1646,2255,0.5172,davidson2017,davidson2017,1,1,False,False,1,1
1646,5090,0.65,davidson2017,davidson2017,1,1,False,False,1,3
1781,2671,0.6923,davidson2017,davidson2017,0,0,False,False,1,1
1785,1824,0.55,davidson2017,davidson2017,1,1,False,False,1,1
1785,2694,0.6875,davidson2017,davidson2017,1,1,False,False,1,1
1802,1803,0.6207,davidson2017,davidson2017,1,1,False,False,1,1
1802,2781,0.7778,davidson2017,davidson2017,1,1,False,False,1,1
1802,2782,0.7,davidson2017,davidson2017,1,1,False,False,1,1
1802,2784,0.7368,davidson2017,davidson2017,1,1,False,False,1,1
1815,12262,0.6771,davidson2017,davidson2017,1,1,False,False,1,1
1822,2874,0.5714,davidson2017,davidson2017,1,1,False,False,1,3
1822,2877,0.6,davidson2017,davidson2017,1,1,False,False,1,1
1824,2881,0.6,davidson2017,davidson2017,1,1,False,False,1,1
1862,3130,0.7826,davidson2017,davidson2017,1,1,False,False,1,1
1862,3131,0.5625,davidson2017,davidson2017,1,1,False,False,1,1
1881,1882,0.75,davidson2017,davidson2017,1,1,False,False,2,4
1881,1883,0.5,davidson2017,davidson2017,1,1,False,False,2,1
1881,1886,0.6923,davidson2017,davidson2017,1,1,False,False,2,1
1881,1887,0.75,davidson2017,davidson2017,1,1,False,False,2,1
1881,1888,0.75,davidson2017,davidson2017,1,1,False,False,2,1
1881,3232,0.5556,davidson2017,davidson2017,1,1,False,False,2,7
1881,3237,0.5,davidson2017,davidson2017,1,1,False,False,2,1
1881,3238,0.5,davidson2017,davidson2017,1,1,False,False,2,1
1881,3246,0.5,davidson2017,davidson2017,1,1,False,False,2,2
1881,97209,0.6667,davidson2017,tweeteval_hate,1,0,True,True,2,1
1881,97265,0.6667,davidson2017,tweeteval_hate,1,0,True,True,2,1
1881,97284,0.6667,davidson2017,tweeteval_hate,1,1,True,False,2,1
1881,97285,0.6667,davidson2017,tweeteval_hate,1,0,True,True,2,3
1882,1883,0.6667,davidson2017,davidson2017,1,1,False,False,4,1
1882,1886,0.9231,davidson2017,davidson2017,1,1,False,False,4,1
1882,1887,0.6,davidson2017,davidson2017,1,1,False,False,4,1
1882,1888,0.6,davidson2017,davidson2017,1,1,False,False,4,1
1882,3239,0.6667,davidson2017,davidson2017,1,1,False,False,4,15
1882,3244,0.6154,davidson2017,davidson2017,1,1,False,False,4,1
1882,97209,0.5,davidson2017,tweeteval_hate,1,0,True,True,4,1
1882,97265,0.5,davidson2017,tweeteval_hate,1,0,True,True,4,1
1882,97284,0.5,davidson2017,tweeteval_hate,1,1,True,False,4,1
1882,97285,0.5,davidson2017,tweeteval_hate,1,0,True,True,4,3
1883,1886,0.6316,davidson2017,davidson2017,1,1,False,False,1,1
1886,1887,0.5625,davidson2017,davidson2017,1,1,False,False,1,1
1886,1888,0.5625,davidson2017,davidson2017,1,1,False,False,1,1
1886,3239,0.6154,davidson2017,davidson2017,1,1,False,False,1,15
1886,3244,0.5714,davidson2017,davidson2017,1,1,False,False,1,1
1887,1888,0.7143,davidson2017,davidson2017,1,1,False,False,1,1
1887,3246,0.5,davidson2017,davidson2017,1,1,False,False,1,2
1887,97209,0.5,davidson2017,tweeteval_hate,1,0,True,True,1,1
1887,97265,0.5,davidson2017,tweeteval_hate,1,0,True,True,1,1
1887,97284,0.5,davidson2017,tweeteval_hate,1,1,True,False,1,1
1887,97285,0.5,davidson2017,tweeteval_hate,1,0,True,True,1,3
1888,3246,0.5,davidson2017,davidson2017,1,1,False,False,1,2
1888,97209,0.5,davidson2017,tweeteval_hate,1,0,True,True,1,1
1888,97265,0.5,davidson2017,tweeteval_hate,1,0,True,True,1,1
1888,97284,0.5,davidson2017,tweeteval_hate,1,1,True,False,1,1
1888,97285,0.5,davidson2017,tweeteval_hate,1,0,True,True,1,3
1895,1896,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
1895,3299,0.5641,davidson2017,davidson2017,1,1,False,False,1,2
1896,1953,0.5686,davidson2017,davidson2017,1,1,False,False,1,1
1896,3299,0.8788,davidson2017,davidson2017,1,1,False,False,1,2
1896,4982,0.5588,davidson2017,davidson2017,1,1,False,False,1,3
1896,14789,0.6765,davidson2017,davidson2017,1,1,False,False,1,1
1896,17836,0.625,davidson2017,davidson2017,1,1,False,False,1,1
1901,1902,0.5833,davidson2017,davidson2017,1,1,False,False,1,1
1904,1905,0.8,davidson2017,davidson2017,1,1,False,False,1,1
1904,3320,0.6667,davidson2017,davidson2017,1,1,False,False,1,5
1904,3322,0.6296,davidson2017,davidson2017,1,1,False,False,1,1
1904,3324,0.5926,davidson2017,davidson2017,1,1,False,False,1,1
1904,99041,0.5484,davidson2017,tweeteval_hate,1,1,True,False,1,1
1905,1906,0.5806,davidson2017,davidson2017,1,1,False,False,1,1
1905,3320,0.7619,davidson2017,davidson2017,1,1,False,False,1,5
1905,3322,0.64,davidson2017,davidson2017,1,1,False,False,1,1
1905,3324,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
1905,99041,0.5517,davidson2017,tweeteval_hate,1,1,True,False,1,1
1906,3324,0.5667,davidson2017,davidson2017,1,1,False,False,1,1
1911,6986,0.68,davidson2017,davidson2017,1,1,False,False,1,1
1987,8482,0.5455,davidson2017,davidson2017,1,1,False,False,1,1
1994,2353,0.6857,davidson2017,davidson2017,1,1,False,False,1,1
1994,11582,0.5135,davidson2017,davidson2017,1,1,False,False,1,2
1994,22357,0.5806,davidson2017,davidson2017,1,1,False,False,1,1
2028,3935,0.898,davidson2017,davidson2017,1,1,False,False,1,1
2076,12266,0.7808,davidson2017,davidson2017,1,1,False,False,1,1
2088,18171,0.5938,davidson2017,davidson2017,1,1,False,False,1,1
2127,2128,0.5741,davidson2017,davidson2017,1,1,False,False,1,1
2161,2162,0.9286,davidson2017,davidson2017,1,1,False,False,1,1
2161,2327,0.5238,davidson2017,davidson2017,1,1,False,False,1,1
2161,4662,0.6154,davidson2017,davidson2017,1,1,False,False,1,4
2161,4667,0.5333,davidson2017,davidson2017,1,1,False,False,1,1
2161,4668,0.5714,davidson2017,davidson2017,1,1,False,False,1,1
2162,2327,0.5,davidson2017,davidson2017,1,1,False,False,1,1
2162,4662,0.5714,davidson2017,davidson2017,1,1,False,False,1,4
2162,4667,0.5,davidson2017,davidson2017,1,1,False,False,1,1
2162,4668,0.5333,davidson2017,davidson2017,1,1,False,False,1,1
2163,2164,0.7778,davidson2017,davidson2017,1,1,False,False,2,2
2163,4681,0.7143,davidson2017,davidson2017,1,1,False,False,2,1
2164,4681,0.5556,davidson2017,davidson2017,1,1,False,False,2,1
2221,2222,0.7143,davidson2017,davidson2017,1,1,False,False,1,1
2221,2224,0.5,davidson2017,davidson2017,1,1,False,False,1,1
2221,7124,0.5556,davidson2017,davidson2017,1,1,False,False,1,1
2222,2224,0.6471,davidson2017,davidson2017,1,1,False,False,1,1
2222,4922,0.6364,davidson2017,davidson2017,1,1,False,False,1,21
2222,4937,0.5833,davidson2017,davidson2017,1,1,False,False,1,1
2222,4940,0.5833,davidson2017,davidson2017,1,1,False,False,1,1
2222,7125,0.5,davidson2017,davidson2017,1,1,False,False,1,1
2222,97209,0.5455,davidson2017,tweeteval_hate,1,0,True,True,1,1
2222,97265,0.5455,davidson2017,tweeteval_hate,1,0,True,True,1,1
2222,97284,0.5455,davidson2017,tweeteval_hate,1,1,True,False,1,1
2222,97285,0.5455,davidson2017,tweeteval_hate,1,0,True,True,1,3
2224,4932,0.7059,davidson2017,davidson2017,1,1,False,False,1,1
2224,4933,0.6316,davidson2017,davidson2017,1,1,False,False,1,1
2254,5082,0.7895,davidson2017,davidson2017,1,1,False,False,1,5
2254,5087,0.6,davidson2017,davidson2017,1,1,False,False,1,1
2254,6866,0.6786,davidson2017,davidson2017,1,1,False,False,1,1
2272,5201,0.75,davidson2017,davidson2017,1,1,False,False,1,1
2278,97655,0.561,davidson2017,tweeteval_hate,1,1,True,False,1,1
2332,2334,0.6429,davidson2017,davidson2017,0,0,False,False,1,1
2332,2336,0.6,davidson2017,davidson2017,0,0,False,False,1,1
2332,5545,0.6667,davidson2017,davidson2017,0,0,False,False,1,1
2332,97209,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,1
2332,97265,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,1
2332,97284,0.5,davidson2017,tweeteval_hate,0,1,True,True,1,1
2332,97285,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,3
2334,2335,0.55,davidson2017,davidson2017,0,0,False,False,1,1
2334,2336,0.9167,davidson2017,davidson2017,0,0,False,False,1,1
2334,5547,0.6364,davidson2017,davidson2017,0,0,False,False,1,5
2334,5552,0.5833,davidson2017,davidson2017,0,0,False,False,1,1
2334,6800,0.6875,davidson2017,davidson2017,0,0,False,False,1,1
2334,97209,0.5455,davidson2017,tweeteval_hate,0,0,True,False,1,1
2334,97265,0.5455,davidson2017,tweeteval_hate,0,0,True,False,1,1
2334,97284,0.5455,davidson2017,tweeteval_hate,0,1,True,True,1,1
2334,97285,0.5455,davidson2017,tweeteval_hate,0,0,True,False,1,3
2335,2336,0.5238,davidson2017,davidson2017,0,0,False,False,1,1
2336,5547,0.5833,davidson2017,davidson2017,0,0,False,False,1,5
2336,5552,0.5385,davidson2017,davidson2017,0,0,False,False,1,1
2336,6800,0.6471,davidson2017,davidson2017,0,0,False,False,1,1
2336,97209,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,1
2336,97265,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,1
2336,97284,0.5,davidson2017,tweeteval_hate,0,1,True,True,1,1
2336,97285,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,3
2353,5662,0.5278,davidson2017,davidson2017,1,1,False,False,1,1
2353,5665,0.6176,davidson2017,davidson2017,1,1,False,False,1,1
2353,11582,0.6286,davidson2017,davidson2017,1,1,False,False,1,2
2353,22357,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
2353,24263,0.5854,davidson2017,davidson2017,1,1,False,False,1,1
2393,2394,0.6087,davidson2017,davidson2017,1,1,False,False,1,2
2394,5835,0.7778,davidson2017,davidson2017,1,1,False,False,2,1
2405,97209,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,1
2405,97265,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,1
2405,97284,0.5,davidson2017,tweeteval_hate,0,1,True,True,1,1
2405,97285,0.5,davidson2017,tweeteval_hate,0,0,True,False,1,3
2425,5970,0.5185,davidson2017,davidson2017,1,1,False,False,1,1
2427,23193,0.5455,davidson2017,davidson2017,1,1,False,False,1,1
2427,98408,0.5926,davidson2017,tweeteval_hate,1,1,True,False,1,1
2493,12784,0.7143,davidson2017,davidson2017,1,1,False,False,1,1
2493,22403,0.6,davidson2017,davidson2017,1,1,False,False,1,1
2493,23742,0.5714,davidson2017,davidson2017,1,1,False,False,1,1
2519,2520,0.5263,davidson2017,davidson2017,1,1,False,False,1,1
2582,4136,0.6944,davidson2017,davidson2017,1,1,False,False,1,1
2612,6808,0.5238,davidson2017,davidson2017,1,1,False,False,1,1
2622,13224,0.6316,davidson2017,davidson2017,1,1,False,False,1,1
2633,2634,0.5455,davidson2017,davidson2017,1,1,False,False,1,1
2663,6760,0.5769,davidson2017,davidson2017,1,1,False,False,1,1
2675,2677,0.5,davidson2017,davidson2017,1,1,False,False,15,1
2675,2687,0.6364,davidson2017,davidson2017,1,1,False,False,15,2
2675,2694,0.6364,davidson2017,davidson2017,1,1,False,False,15,1
2675,2696,0.5833,davidson2017,davidson2017,1,1,False,False,15,1
2675,2710,0.6364,davidson2017,davidson2017,1,1,False,False,15,1
2675,2722,0.5,davidson2017,davidson2017,1,1,False,False,15,1
2675,2769,0.6364,davidson2017,davidson2017,1,1,False,False,15,2
2675,2774,0.5385,davidson2017,davidson2017,1,1,False,False,15,1
2675,2777,0.5385,davidson2017,davidson2017,1,1,False,False,15,2
2675,2779,0.5385,davidson2017,davidson2017,1,1,False,False,15,1
2675,2788,0.5385,davidson2017,davidson2017,1,1,False,False,15,1
2675,2795,0.6364,davidson2017,davidson2017,1,1,False,False,15,2
2675,2806,0.5833,davidson2017,davidson2017,1,1,False,False,15,1
2675,2827,0.5385,davidson2017,davidson2017,1,1,False,False,15,2
2675,2871,0.875,davidson2017,davidson2017,1,1,False,False,15,1
2675,2872,0.7,davidson2017,davidson2017,1,1,False,False,15,1
2675,2874,0.875,davidson2017,davidson2017,1,1,False,False,15,3
2675,2877,0.7,davidson2017,davidson2017,1,1,False,False,15,1
2675,2881,0.7778,davidson2017,davidson2017,1,1,False,False,15,1
2675,2898,0.875,davidson2017,davidson2017,1,1,False,False,15,1
2675,98685,0.6364,davidson2017,tweeteval_hate,1,0,True,True,15,1
